Date,PX_LAST,PX_VOLUME
3/11/16,20.7,4237
3/10/16,21.175,4276
3/9/16,21.3,2740
3/8/16,21.575,3242
3/7/16,21.025,3030
3/4/16,21.175,4202
3/3/16,20.825,4274
3/2/16,21.4,4859
3/1/16,21.525,5061
2/29/16,22.775,3206
2/26/16,22.475,4128
2/25/16,22.275,3058
2/24/16,22.625,4095
2/23/16,22.875,3672
2/22/16,22.3,3697
2/19/16,23.05,5074
2/18/16,23.325,4540
2/17/16,23.075,7618
2/16/16,23.675,7712
2/12/16,24.375,5533
2/11/16,24.475,10578
2/10/16,23.475,5089
2/9/16,23.475,6092
2/8/16,23.05,5364
2/5/16,22.6,4791
2/4/16,22.175,4177
2/3/16,21.875,5072
2/2/16,21.975,4409
2/1/16,21.175,3107
1/29/16,21.325,4566
1/28/16,22.125,3605
1/27/16,22.45,4884
1/26/16,21.95,3395
1/25/16,22.575,3953
1/22/16,21.925,5402
1/21/16,23.225,4651
1/20/16,23.225,10095
1/19/16,22.95,10895
1/15/16,23.075,12382
1/14/16,21.725,6904
1/13/16,22.275,6175
1/12/16,20.825,5620
1/11/16,21.625,9108
1/8/16,21.925,5917
1/7/16,21.075,11678
1/6/16,19.975,3695
1/5/16,19.6,3617
1/4/16,19.925,7571
12/31/15,19.5,2659
12/30/15,19.475,1868
12/29/15,18.975,3160
12/28/15,19.225,3656
12/24/15,19.675,950
12/23/15,19.575,3294
12/22/15,19.5,3102
12/21/15,20.075,2240
12/18/15,20.925,4270
12/17/15,20.225,3933
12/16/15,19.325,7691
12/15/15,19.675,6529
12/14/15,20.65,10295
12/11/15,21.55,10651
12/10/15,20.025,4426
12/9/15,19.775,5438
12/8/15,19.425,4481
12/7/15,18.925,3438
12/4/15,18.875,6714
12/3/15,19.625,6518
12/2/15,19.025,5865
12/1/15,18.725,3561
11/30/15,19.225,2637
11/27/15,19.475,1838
11/25/15,19.4,2255
11/24/15,19.625,3848
11/23/15,19.275,4379
11/20/15,19.625,2273
11/19/15,19.825,4008
11/18/15,18.975,5145
11/17/15,19.4,6193
11/16/15,19.075,6395
11/13/15,20.525,6695
11/12/15,19.725,6085
11/11/15,18.775,2331
11/10/15,18.525,3378
11/9/15,18.775,4768
11/6/15,18.3,4329
11/5/15,18.525,2842
11/4/15,18.875,3745
11/3/15,18.525,3286
11/2/15,18.325,2810
10/30/15,18.875,3661
10/29/15,18.625,2674
10/28/15,18.425,4882
10/27/15,18.725,5994
10/26/15,19.025,4868
10/23/15,18.725,6029
10/22/15,18.425,4426
10/21/15,19.575,6905
10/20/15,18.875,6355
10/19/15,18.175,5018
10/16/15,18.975,5749
10/15/15,18.925,5395
10/14/15,20.05,4340
10/13/15,19.775,4638
10/12/15,18.8,4567
10/9/15,19.675,3254
10/8/15,19.65,3944
10/7/15,20.025,2843
10/6/15,20.6,2937
10/5/15,20.225,5744
10/2/15,21.075,4169
10/1/15,21.75,2759
9/30/15,22.175,3905
9/29/15,22.475,6255
9/28/15,22.325,6119
9/25/15,21.725,4658
9/24/15,21.375,5202
9/23/15,20.925,3752
9/22/15,21.275,5844
9/21/15,20.425,4353
9/18/15,21.2,6622
9/17/15,20.45,8587
9/16/15,19.625,14203
9/15/15,20.925,12521
9/14/15,22.475,6083
9/11/15,22.525,2720
9/10/15,22.675,3145
9/9/15,23.1,4199
9/8/15,22.8,3337
9/4/15,23.95,6287
9/3/15,23.1,8188
9/2/15,22.925,9190
9/1/15,23.95,11835
8/31/15,22.225,6754
8/28/15,21.2,8672
8/27/15,20.375,9652
8/26/15,20.125,9968
8/25/15,20.8,14838
8/24/15,20.65,26147
8/21/15,18.675,25722
8/20/15,18.125,10858
8/19/15,16.975,10753
8/18/15,16.775,6229
8/17/15,16.55,6608
8/14/15,16.575,12438
8/13/15,16.65,7646
8/12/15,16.725,13202
8/11/15,16.825,7350
8/10/15,16.5,7760
8/7/15,16.625,7437
8/6/15,16.825,10335
8/5/15,16.675,4565
8/4/15,16.725,6049
8/3/15,16.625,6758
7/31/15,16.825,4753
7/30/15,16.825,4278
7/29/15,16.875,6001
7/28/15,16.825,6371
7/27/15,17.25,6225
7/24/15,17.075,6114
7/23/15,16.875,7366
7/22/15,16.575,7430
7/21/15,16.475,7377
7/20/15,16.4,6134
7/17/15,16.575,6453
7/16/15,16.575,7001
7/15/15,16.95,10885
7/14/15,17.125,7986
7/13/15,17.025,8777
7/10/15,18.025,7848
7/9/15,18.725,6151
7/8/15,18.425,9637
7/7/15,17.675,11484
7/6/15,18.075,7778
7/2/15,17.775,8392
7/1/15,17.225,9750
6/30/15,18.125,15025
6/29/15,18.175,12656
6/26/15,17.175,5409
6/25/15,17.275,4219
6/24/15,17.325,3778
6/23/15,17.175,3710
6/22/15,17.325,4503
6/19/15,17.825,3425
6/18/15,17.625,5964
6/17/15,17.525,11162
6/16/15,17.525,9963
6/15/15,17.725,10960
6/12/15,17.425,11308
6/11/15,17.275,6008
6/10/15,17.425,5039
6/9/15,17.875,3324
6/8/15,17.925,3223
6/5/15,17.775,5504
6/4/15,17.775,5504
6/3/15,17.475,4044
6/2/15,17.725,5570
6/1/15,17.475,3613
5/29/15,17.525,5291
5/28/15,17.475,2792
5/27/15,17.425,3200
5/26/15,17.575,7032
5/22/15,17.525,3484
5/21/15,17.325,3651
5/20/15,17.125,6727
5/19/15,17.075,6667
5/18/15,17.225,7856
5/15/15,17.575,10996
5/14/15,17.725,4423
5/13/15,17.825,3442
5/12/15,17.975,4533
5/11/15,18.125,3461
5/8/15,17.825,7716
5/7/15,18.075,4733
5/6/15,18.225,6947
5/5/15,18.125,6229
5/4/15,17.825,3238
5/1/15,17.875,4783
4/30/15,18.325,6346
4/29/15,18.225,4904
4/28/15,17.825,5377
4/27/15,18.225,4050
4/24/15,18.025,2471
4/23/15,18.025,3204
4/22/15,18.125,3831
4/21/15,18.225,4107
4/20/15,18.275,5126
4/17/15,18.525,7968
4/16/15,18.225,5624
4/15/15,17.775,8966
4/14/15,17.925,9961
4/13/15,17.975,8000
4/10/15,17.6,11969
4/9/15,18.125,6144
4/8/15,18.475,8392
4/7/15,18.475,4501
4/6/15,18.525,4637
4/3/15,18.875,100
4/2/15,18.875,7151
4/1/15,18.925,5815
3/31/15,18.875,5176
3/30/15,18.675,6185
3/27/15,18.775,3881
3/26/15,18.775,7618
3/25/15,18.925,5009
3/24/15,18.575,3755
3/23/15,18.575,3778
3/20/15,18.575,7846
3/19/15,18.625,3556
3/18/15,18.175,10469
3/17/15,18.525,5983
3/16/15,18.525,6303
3/13/15,18.775,9651
3/12/15,18.525,3743
3/11/15,19.175,4529
3/10/15,18.95,6887
3/9/15,18.375,7079
3/6/15,18.425,7020
3/5/15,18.1,4981
3/4/15,18.3,4918
3/3/15,18.375,4258
3/2/15,18.175,4102
2/27/15,18.525,5578
2/26/15,18.625,3597
2/25/15,18.875,7123
2/24/15,18.675,7083
2/23/15,19.275,3108
2/20/15,19.225,4891
2/19/15,19.625,3117
2/18/15,19.225,7475
2/17/15,19.375,9545
2/13/15,19.125,6987
2/12/15,19.375,8643
2/11/15,19.875,5641
