Date,ES_PX_LAST,ES_DAILY_RETURN,ES_PX_VOLUME
2/17/16,1922.75,0.018001324,1839284
2/16/16,1888.75,0.016413292,2001436
2/12/16,1858.25,0.018498219,2009632
2/11/16,1824.5,-0.012048193,3196586
2/10/16,1846.75,-0.000811579,2352799
2/9/16,1848.25,-0.002024838,2783150
2/8/16,1852,-0.012398347,2667662
2/5/16,1875.25,-0.017035775,2303794
2/4/16,1907.75,-0.000392979,2251965
2/3/16,1908.5,0.005797101,2841210
2/2/16,1897.5,-0.017475728,2097985
2/1/16,1931.25,0.000647668,1740254
1/29/16,1930,0.026186362,2395768
1/28/16,1880.75,0.003066667,2249377
1/27/16,1875,-0.011075949,2109008
1/26/16,1896,0.013768213,1776173
1/25/16,1870.25,-0.015269185,1636585
1/22/16,1899.25,0.020553466,2100487
1/21/16,1861,0.003234501,2723416
1/20/16,1855,-0.009610251,3917784
1/19/16,1873,-0.001066667,2780626
1/15/16,1875,-0.020632019,3432315
1/14/16,1914.5,0.017539197,3033976
1/13/16,1881.5,-0.022597403,2887347
1/12/16,1925,0.005615776,2423038
1/11/16,1914.25,0.001438661,2484686
1/8/16,1911.5,-0.011122607,2681576
1/7/16,1933,-0.026686808,2961785
1/6/16,1986,-0.012799801,2214380
1/5/16,2011.75,0.00136884,1686270
1/4/16,2009,-0.013018914,2212693
12/31/15,2035.5,-0.009247992,1026053
12/30/15,2054.5,-0.008804728,718431
12/29/15,2072.75,0.01171446,829702
12/28/15,2048.75,-0.001218769,694543
12/24/15,2051.25,-0.000852411,323112
12/23/15,2053,0.008349705,1003210
12/22/15,2036,0.010421836,1142331
12/21/15,2015,-0.007252232,1269272
12/18/15,2029.72,-0.002226865,63211
12/17/15,2034.25,-0.018219112,404881
12/16/15,2072,0.012955268,574730
12/15/15,2045.5,0.01337627,1037862
12/14/15,2018.5,0.004353775,1267706
12/11/15,2009.75,-0.019275345,1574490
12/10/15,2049.25,0.003550441,1814181
12/9/15,2042,-0.008136005,2660114
12/8/15,2058.75,-0.010691975,1985935
12/7/15,2081,-0.003591094,1693066
12/4/15,2088.5,0.018159659,2254132
12/3/15,2051.25,-0.014532789,2643650
12/2/15,2081.5,-0.008809524,1709808
12/1/15,2100,0.009736747,1479676
11/30/15,2079.75,-0.004904306,1377146
11/27/15,2090,0.000957854,653079
11/25/15,2088,0.00155894,745779
11/24/15,2084.75,0.000239894,1514589
11/23/15,2084.25,-0.002154399,971241
11/20/15,2088.75,0.004568955,1266980
11/19/15,2079.25,-0.000240414,1283219
11/18/15,2079.75,0.015007321,1531975
11/17/15,2049,0.000488281,1610071
11/16/15,2048,0.014614813,1708089
11/13/15,2018.5,-0.010781671,2124881
11/12/15,2040.5,-0.01377477,1794847
11/11/15,2069,-0.004331088,1171227
11/10/15,2078,0.002411963,1285716
11/9/15,2073,-0.009910448,1855463
11/6/15,2093.75,-0.000119389,1845961
11/5/15,2094,-0.000358038,1537030
11/4/15,2094.75,-0.003922967,1543740
11/3/15,2103,0.003579098,1337628
11/2/15,2095.5,0.010488246,1281668
10/30/15,2073.75,-0.004440711,1750688
10/29/15,2083,-0.000719597,1396107
10/28/15,2084.5,0.011647658,1888636
10/27/15,2060.5,-0.000848588,1242724
10/26/15,2062.25,-0.001815102,1183138
10/23/15,2066,0.006332197,2050047
10/22/15,2053,0.022155838,2098033
10/21/15,2008.5,-0.005939124,1780504
10/20/15,2020.5,-0.003452528,1264201
10/19/15,2027.5,0.000987411,1306084
10/16/15,2025.5,0.003219416,1355097
10/15/15,2019,0.017641129,1727968
10/14/15,1984,-0.005015045,1765988
10/13/15,1994,-0.008453506,1509079
10/12/15,2011,0.001743462,792497
10/9/15,2007.5,0.00049838,1376562
10/8/15,2006.5,0.009686753,1802198
10/7/15,1987.25,0.009525019,1936412
10/6/15,1968.5,-0.003164958,1605882
10/5/15,1974.75,0.01634071,1672581
10/2/15,1943,0.013695057,2465795
10/1/15,1916.75,0.004191225,2051438
9/30/15,1908.75,0.018271539,2213235
9/29/15,1874.5,0.00133547,2367984
9/28/15,1872,-0.024618992,2326382
9/25/15,1919.25,0.000260586,2078180
9/24/15,1918.75,-0.005055743,2215933
9/23/15,1928.5,-0.001811594,1423869
9/22/15,1932,-0.015792155,1980294
9/21/15,1963,0.001530612,1513352
9/18/15,1960,-0.013960508,80375
9/17/15,1987.75,-0.005254598,516118
9/16/15,1998.25,0.009344614,591412
9/15/15,1979.75,0.013178096,1032026
9/14/15,1954,-0.003188369,891948
9/11/15,1960.25,0.005514234,1044500
9/10/15,1949.5,0.003474456,2268771
9/9/15,1942.75,-0.011700369,2095527
9/8/15,1965.75,0.022895798,1868461
9/4/15,1921.75,-0.012461459,2133618
9/3/15,1946,-0.000513611,2051771
9/2/15,1947,0.016179541,2177871
9/1/15,1916,-0.027040752,2819876
8/31/15,1969.25,-0.010302802,1875462
8/28/15,1989.75,0.000251351,1968178
8/27/15,1989.25,0.026444788,2929038
8/26/15,1938,0.03484181,3513948
8/25/15,1872.75,0.000801603,3652294
8/24/15,1871.25,-0.050849607,5243619
8/21/15,1971.5,-0.026660084,4160367
8/20/15,2025.5,-0.022795803,2577998
8/19/15,2072.75,-0.010148042,2287924
8/18/15,2094,-0.002500893,1133037
8/17/15,2099.25,0.004666188,1292404
8/14/15,2089.5,0.004325883,1069024
8/13/15,2080.5,-0.001799208,1487841
8/12/15,2084.25,0.002163722,2357389
8/11/15,2079.75,-0.009524943,1777943
8/10/15,2099.75,0.012659754,1192601
8/7/15,2073.5,-0.002885309,1593346
8/6/15,2079.5,-0.00680597,1608346
8/5/15,2093.75,0.005160826,1379742
8/4/15,2083,-0.003825921,1327794
8/3/15,2091,-0.003573981,1509759
7/31/15,2098.5,-0.002495544,1602657
